time (seconds),encoderLeft (meters),encoderRight (meters)
63.201,-0.0007306079496629536,-0.0008134967065416276
63.302,-0.0007317398558370769,-0.0008147587068378925
63.401,-0.0007329121581278741,-0.0008160637225955725
63.5,-0.0007340802112594247,-0.0008173647220246494
63.604,-0.0007352526881732047,-0.0008186693303287029
63.699,-0.0007363868062384427,-0.0008199363364838064
63.803,-0.000737524766009301,-0.0008212050306610763
63.896,-0.0007387174991890788,-0.0008225294295698404
64.001,-0.0007398238522000611,-0.0008237683796323836
64.099,-0.0007410261896438897,-0.0008250999380834401
64.199,-0.000742139876820147,-0.00082634441787377
64.302,-0.0007433374412357807,-0.0008276734151877463
64.401,-0.0007444501388818026,-0.0008289187680929899
64.501,-0.0007456503226421773,-0.0008302474743686616
64.6,-0.0007467912510037422,-0.0008315205341205001
64.702,-0.0007479427149519324,-0.0008328023250214756
64.794,-0.0007491079159080982,-0.000834098260384053
64.897,-0.0007502796943299472,-0.0008354003075510263
65.004,-0.0007514408207498491,-0.0008366950205527246
65.101,-0.0007526116096414626,-0.0008379969513043761
65.209,-0.0007537698838859797,-0.0008392891613766551
65.28,-0.0007549305446445942,-0.0008405803819186985
65.399,-0.0007561324164271355,-0.0008419124060310423
65.505,-0.0007572918548248708,-0.0008432025788351893
65.602,-0.0007584632840007544,-0.0008445068961009383
65.701,-0.0007596228388138115,-0.0008457991061732173
65.799,-0.0007607610314153135,-0.0008470698958262801
65.902,-0.0007619422976858914,-0.0008483813726343215
65.998,-0.000763100862968713,-0.000849669857416302
66.102,-0.0007642672280780971,-0.0008509678882546723
66.195,-0.0007654160144738853,-0.0008522471762262285
66.305,-0.0007665726006962359,-0.0008535343804396689
66.384,-0.0007677364046685398,-0.0008548291516490281
66.504,-0.0007688565528951585,-0.0008560817805118859
66.604,-0.0007700447458773851,-0.0008573996019549668
66.693,-0.0007712256046943367,-0.0008587141055613756
66.799,-0.0007723597809672356,-0.0008599786669947207
66.897,-0.0007735321996733546,-0.0008612839737907052
67,-0.0007746994961053133,-0.0008625815389677882
67.099,-0.0007758591091260314,-0.0008638739818707108
67.198,-0.0007770151132717729,-0.0008651599055156112
67.304,-0.0007781978347338736,-0.000866475747898221
67.401,-0.0007793486001901329,-0.0008677609148435295
67.51,-0.0007805230561643839,-0.0008690663380548358
67.605,-0.000781677255872637,-0.0008703516214154661
67.701,-0.0007828449597582221,-0.0008716530865058303
67.801,-0.0007839938043616712,-0.0008729328401386738
67.9,-0.0007851530681364238,-0.0008742223726585507
67.999,-0.0007863336359150708,-0.0008755330927670002
68.108,-0.0007875115843489766,-0.0008768446859903634
68.2,-0.0007886845851317048,-0.0008781484211795032
68.303,-0.0007898565963841975,-0.000879450817592442
68.399,-0.0007909886771813035,-0.0008807132835499942
68.5,-0.0007921613287180662,-0.0008820175426080823
68.601,-0.0007933333981782198,-0.0008833211613819003
68.692,-0.0007944883545860648,-0.0008846063865348697
68.801,-0.0007956212502904236,-0.0008858696091920137
68.899,-0.0007967969868332148,-0.0008871771860867739
69.001,-0.000797922199126333,-0.0008884326089173555
69.102,-0.0007991025340743363,-0.0008897454827092588
69.2,-0.0008002707618288696,-0.0008910467731766403
69.299,-0.0008014466729946434,-0.0008923554560169578
